file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-30_RNAi-55316.51941-1_group1_18,18,50.164,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_19,19,70.593,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_20,20,122,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_21,21,112.485,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_29,29,67.366,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_30,30,87.424,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_31,31,219.161,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_32,32,123.191,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-55316.51941-1_group1_33,33,30.35,2021-03-30,group1,1,55316,51941,55316_51941,attP40,Mvl
2021-03-30_RNAi-57526.51941-1_group1_17,17,282.099,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_18,18,284.231,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_19,19,49.574,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_20,20,193.337,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_21,21,148.349,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_29,29,176.342,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_30,30,170.128,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_31,31,143.43,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_32,32,232.433,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-57526.51941-1_group1_33,33,233.492,2021-03-30,group1,1,57526,51941,57526_51941,attP40,Alp5
2021-03-30_RNAi-58111.51941-1_group1_17,17,127.343,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_18,18,105.318,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_19,19,136.524,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_20,20,27.275,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_21,21,111.372,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_29,29,88.308,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_30,30,166.001,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
2021-03-30_RNAi-58111.51941-1_group1_31,31,82.423,2021-03-30,group1,1,58111,51941,58111_51941,attP40,AnxB9
