FileName,Chamber,...3,file,incapacitation,Rvar,date,group,chamber,rep,genotype,cross
2021-04-08_RNAi-60074.25750-2_group1,23,NA,2021-04-08_RNAi-60074.25750-2_group1_23,71.658,3.6189999999999714,2021-04-08,group1,23,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,24,NA,2021-04-08_RNAi-60074.25750-2_group1_24,71.658,1.5638999999999896,2021-04-08,group1,24,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,26,NA,2021-04-08_RNAi-60074.25750-2_group1_26,93.855,5.961199999999991,2021-04-08,group1,26,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,27,NA,2021-04-08_RNAi-60074.25750-2_group1_27,64.823,3.9639999999999986,2021-04-08,group1,27,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,28,NA,2021-04-08_RNAi-60074.25750-2_group1_28,63.197,5.502400000000023,2021-04-08,group1,28,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,29,NA,2021-04-08_RNAi-60074.25750-2_group1_29,118.893,11.887,2021-04-08,group1,29,2,60074,25750
2021-04-08_RNAi-60074.25750-2_group1,30,NA,2021-04-08_RNAi-60074.25750-2_group1_30,81.549,4.922299999999979,2021-04-08,group1,30,2,60074,25750
2021-04-09_RNAi-36304-2_group1,20,NA,2021-04-09_RNAi-36304-2_group1_20,131.485,1.870300000000043,2021-04-09,group1,20,2,36304,
2021-04-09_RNAi-36304-2_group1,21,NA,2021-04-09_RNAi-36304-2_group1_21,51.397,3.2665999999999826,2021-04-09,group1,21,2,36304,
2021-04-09_RNAi-36304-2_group1,22,NA,2021-04-09_RNAi-36304-2_group1_22,64.683,8.163999999999987,2021-04-09,group1,22,2,36304,
2021-04-09_RNAi-36304-2_group1,23,NA,2021-04-09_RNAi-36304-2_group1_23,43.368,2.1263000000000147,2021-04-09,group1,23,2,36304,
2021-04-09_RNAi-36304-2_group1,24,NA,2021-04-09_RNAi-36304-2_group1_24,21.952,5.11669999999998,2021-04-09,group1,24,2,36304,
2021-04-09_RNAi-36304-2_group1,26,NA,2021-04-09_RNAi-36304-2_group1_26,75.544,2.9989000000000487,2021-04-09,group1,26,2,36304,
2021-04-09_RNAi-36304-2_group1,27,NA,2021-04-09_RNAi-36304-2_group1_27,18.701,2.408799999999985,2021-04-09,group1,27,2,36304,
2021-04-09_RNAi-36304-2_group1,28,NA,2021-04-09_RNAi-36304-2_group1_28,63.646,3.292599999999993,2021-04-09,group1,28,2,36304,
2021-04-09_RNAi-36304-2_group1,29,NA,2021-04-09_RNAi-36304-2_group1_29,132.58,2.8881000000000085,2021-04-09,group1,29,2,36304,
2021-04-09_RNAi-36304-2_group1,30,NA,2021-04-09_RNAi-36304-2_group1_30,49.196,7.5353999999999814,2021-04-09,group1,30,2,36304,
2021-04-09_RNAi-55316.3954-2_group1,20,NA,2021-04-09_RNAi-55316.3954-2_group1_20,79.611,4.430900000000008,2021-04-09,group1,20,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,21,NA,2021-04-09_RNAi-55316.3954-2_group1_21,128.081,2.651800000000037,2021-04-09,group1,21,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,22,NA,2021-04-09_RNAi-55316.3954-2_group1_22,158.026,5.965599999999995,2021-04-09,group1,22,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,23,NA,2021-04-09_RNAi-55316.3954-2_group1_23,55.231,1.7335999999999672,2021-04-09,group1,23,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,24,NA,2021-04-09_RNAi-55316.3954-2_group1_24,52.391,7.069299999999998,2021-04-09,group1,24,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,26,NA,2021-04-09_RNAi-55316.3954-2_group1_26,62.217,1.3996999999999957,2021-04-09,group1,26,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,27,NA,2021-04-09_RNAi-55316.3954-2_group1_27,75.819,1.644299999999987,2021-04-09,group1,27,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,28,NA,2021-04-09_RNAi-55316.3954-2_group1_28,75.819,2.057700000000011,2021-04-09,group1,28,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,29,NA,2021-04-09_RNAi-55316.3954-2_group1_29,63.821,1.9809000000000196,2021-04-09,group1,29,2,55316,3954
2021-04-09_RNAi-55316.3954-2_group1,30,NA,2021-04-09_RNAi-55316.3954-2_group1_30,158.599,4.536599999999964,2021-04-09,group1,30,2,55316,3954
2021-04-09_RNAi-60071.25750-2_group1,20,NA,2021-04-09_RNAi-60071.25750-2_group1_20,106.843,1.5690999999999917,2021-04-09,group1,20,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,21,NA,2021-04-09_RNAi-60071.25750-2_group1_21,48.463,6.248400000000004,2021-04-09,group1,21,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,22,NA,2021-04-09_RNAi-60071.25750-2_group1_22,59.375,1.817200000000014,2021-04-09,group1,22,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,23,NA,2021-04-09_RNAi-60071.25750-2_group1_23,61.713,1.9449999999999932,2021-04-09,group1,23,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,24,NA,2021-04-09_RNAi-60071.25750-2_group1_24,59.912,11.289899999999989,2021-04-09,group1,24,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,26,NA,2021-04-09_RNAi-60071.25750-2_group1_26,53.848,4.762900000000002,2021-04-09,group1,26,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,27,NA,2021-04-09_RNAi-60071.25750-2_group1_27,83.565,5.58869999999996,2021-04-09,group1,27,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,28,NA,2021-04-09_RNAi-60071.25750-2_group1_28,95.062,12.127800000000036,2021-04-09,group1,28,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,29,NA,2021-04-09_RNAi-60071.25750-2_group1_29,48.463,1.515100000000018,2021-04-09,group1,29,2,60071,25750
2021-04-09_RNAi-60071.25750-2_group1,30,NA,2021-04-09_RNAi-60071.25750-2_group1_30,63.929,4.919899999999984,2021-04-09,group1,30,2,60071,25750
2021-04-10_RNAi-60071.3954-2_group1,20,NA,2021-04-10_RNAi-60071.3954-2_group1_20,157.561,3.9622999999999706,2021-04-10,group1,20,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,21,NA,2021-04-10_RNAi-60071.3954-2_group1_21,129.546,2.1819000000000415,2021-04-10,group1,21,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,22,NA,2021-04-10_RNAi-60071.3954-2_group1_22,129.546,1.240000000000009,2021-04-10,group1,22,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,23,NA,2021-04-10_RNAi-60071.3954-2_group1_23,98.046,1.203800000000001,2021-04-10,group1,23,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,24,NA,2021-04-10_RNAi-60071.3954-2_group1_24,97.513,3.5738000000000056,2021-04-10,group1,24,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,26,NA,2021-04-10_RNAi-60071.3954-2_group1_26,123.46,6.4990999999999985,2021-04-10,group1,26,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,27,NA,2021-04-10_RNAi-60071.3954-2_group1_27,89.035,5.624599999999987,2021-04-10,group1,27,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,28,NA,2021-04-10_RNAi-60071.3954-2_group1_28,94.205,4.412400000000019,2021-04-10,group1,28,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,29,NA,2021-04-10_RNAi-60071.3954-2_group1_29,90.604,4.488199999999978,2021-04-10,group1,29,2,60071,3954
2021-04-10_RNAi-60071.3954-2_group1,30,NA,2021-04-10_RNAi-60071.3954-2_group1_30,88.523,4.65379999999999,2021-04-10,group1,30,2,60071,3954
2021-04-13_RNAi-32871.25750-3_group1,17,NA,2021-04-13_RNAi-32871.25750-3_group1_17,129.497,9.48169999999999,2021-04-13,group1,17,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,18,NA,2021-04-13_RNAi-32871.25750-3_group1_18,89.695,5.430500000000023,2021-04-13,group1,18,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,19,NA,2021-04-13_RNAi-32871.25750-3_group1_19,112.635,10.668299999999988,2021-04-13,group1,19,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,20,NA,2021-04-13_RNAi-32871.25750-3_group1_20,76.49,2.7507000000000232,2021-04-13,group1,20,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,21,NA,2021-04-13_RNAi-32871.25750-3_group1_21,74.368,1.6062000000000012,2021-04-13,group1,21,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,29,NA,2021-04-13_RNAi-32871.25750-3_group1_29,103.634,1.4610999999999876,2021-04-13,group1,29,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,30,NA,2021-04-13_RNAi-32871.25750-3_group1_30,75.908,1.7717000000000098,2021-04-13,group1,30,3,32871,25750
2021-04-13_RNAi-32871.25750-3_group1,31,NA,2021-04-13_RNAi-32871.25750-3_group1_31,101.447,6.629099999999994,2021-04-13,group1,31,3,32871,25750
