"feature","id","fc","pval","qval","tname"
"gene","MSTRG.20906",0.777935894688468,0.0510341359004922,0.492728737895736,"FBtr0111189"
"gene","MSTRG.8396",1.40375960069108,0.0510656023839021,0.492728737895736,"MSTRG.8396.4"
"gene","MSTRG.11403",0.725616746764851,0.0512074884465863,0.493114076987874,"FBtr0074991"
"gene","MSTRG.14263",2.99299788024949,0.0512263551740435,0.493114076987874,"FBtr0100020"
"gene","MSTRG.8016",0.808794888901429,0.0514622858023056,0.494801694940189,"FBtr0072396"
"gene","MSTRG.7849",0.732611710579218,0.0517208237260709,0.496116660601575,"FBtr0345620"
"gene","MSTRG.8659",0.845669932795978,0.0517949731101404,0.496116660601575,"FBtr0445725"
"gene","MSTRG.5116",1.2039130549548,0.0518242345196407,0.496116660601575,"FBtr0346635"
"gene","MSTRG.15590",0.823999456818994,0.0518600548749877,0.496116660601575,"FBtr0084190"
"gene","MSTRG.8895",0.725840610086131,0.0519029312941008,0.496116660601575,"FBtr0073287"
"gene","MSTRG.7781",1.3204331258509,0.0520311276850181,0.496760345371699,"FBtr0072130"
"gene","MSTRG.14045",1.59451598050143,0.0523741832018567,0.499451469014902,"FBtr0082488"
"gene","MSTRG.10330",1.25030694890772,0.0526686137154471,0.501039957720851,"FBtr0076007"
"gene","MSTRG.11162",36.8673645321993,0.0527443748595653,0.501039957720851,"FBtr0075174"
"gene","MSTRG.9365",0.709282460264373,0.052803700511445,0.501039957720851,"FBtr0076926"
"gene","MSTRG.9342",0.764631469602316,0.0528474108981426,0.501039957720851,"MSTRG.9342.1"
"gene","MSTRG.13931",1.32463009286492,0.0528476544894834,0.501039957720851,"FBtr0300491"
"gene","MSTRG.15287",2.85324391195998,0.0530798511340375,0.50235266720789,"MSTRG.15287.1"
"gene","MSTRG.11944",1.25028360832806,0.05317655566547,0.50235266720789,"FBtr0078504"
"gene","MSTRG.18766",0.545491704015678,0.0531791819926628,0.50235266720789,"FBtr0347472"
"gene","MSTRG.15560",0.762304515932473,0.0532374407954153,0.50235266720789,"FBtr0084135"
"gene","MSTRG.17461",1.38731520308128,0.0533905819515341,0.50235266720789,"MSTRG.17461.11"
"gene","MSTRG.4502",0.793712813142336,0.0533941064605955,0.50235266720789,"MSTRG.4502.1"
"gene","MSTRG.20502",0.708598747289429,0.0534554437729762,0.50235266720789,"MSTRG.20502.2"
"gene","MSTRG.11649",1.48002181381704,0.0535306696961151,0.50235266720789,"FBtr0113183"
"gene","MSTRG.17051",0.589397279356219,0.0536470539474149,0.50235266720789,"FBtr0085628"
"gene","MSTRG.3284",1.34332795447704,0.0536677844971911,0.50235266720789,"FBtr0343822"
"gene","MSTRG.11026",4.47999625737009,0.0537071421935797,0.50235266720789,"MSTRG.11026.1"
"gene","MSTRG.17786",0.815353107554713,0.0537321557271441,0.50235266720789,"FBtr0070398"
"gene","MSTRG.9266",0.711013950083738,0.0537861363640446,0.50235266720789,"FBtr0076942"
"gene","MSTRG.7779",0.769186317812476,0.0538938630053684,0.502783547100368,"MSTRG.7779.1"
"gene","MSTRG.14678",1.27233200811428,0.0540530782831274,0.503693239754759,"FBtr0301479"
"gene","MSTRG.7678",1.81334112168499,0.0541751247306659,0.504254895298091,"FBtr0301854"
"gene","MSTRG.554",1.41259245402062,0.0545022499672061,0.506192944800359,"FBtr0077957"
"gene","MSTRG.16273",2.32282085935487,0.0547980072460783,0.506192944800359,"FBtr0084883"
"gene","MSTRG.13840",0.75018338290979,0.0548051024598977,0.506192944800359,"FBtr0082332"
"gene","MSTRG.19368",0.702081495538895,0.0548194768277244,0.506192944800359,"FBtr0073675"
"gene","MSTRG.10454",1.22512537381182,0.0548736118074583,0.506192944800359,"FBtr0075883"
"gene","MSTRG.11154",1.73187674495043,0.0549016856022985,0.506192944800359,"FBtr0112444"
"gene","MSTRG.15046",0.623277600658365,0.055062359184892,0.506192944800359,"FBtr0083630"
"gene","MSTRG.3368",0.759220330053599,0.0550941539648105,0.506192944800359,"FBtr0081109"
"gene","MSTRG.36",1.939359373999,0.0551291052517878,0.506192944800359,"MSTRG.36.1"
"gene","MSTRG.16745",1.27201624227595,0.0551484860652631,0.506192944800359,"FBtr0085347"
"gene","MSTRG.491",1.41597653936601,0.0551902795328156,0.506192944800359,"FBtr0078001"
"gene","MSTRG.14150",0.843067853662491,0.055192673684391,0.506192944800359,"FBtr0082643"
"gene","MSTRG.8543",1.18733328180474,0.05523200147032,0.506192944800359,"FBtr0072901"
"gene","MSTRG.12915",3.21728143510339,0.0553490512571093,0.506192944800359,"MSTRG.12915.2"
"gene","MSTRG.14592",0.442254906940655,0.0553785033971506,0.506192944800359,"FBtr0083143"
"gene","MSTRG.1213",1.75104498818891,0.055403765442404,0.506192944800359,"MSTRG.1213.1"
"gene","MSTRG.6322",0.84863296881214,0.0554375220692785,0.506192944800359,"FBtr0087259"
"gene","MSTRG.15571",0.585492008032474,0.0555947672879751,0.506484633636697,"FBtr0084151"
"gene","MSTRG.6938",23.4157810799444,0.0556691228675354,0.506484633636697,"FBtr0086621"
"gene","MSTRG.14557",0.691489505697599,0.0556937243865304,0.506484633636697,"FBtr0083078"
"gene","MSTRG.6448",0.820007598439993,0.0557176529469257,0.506484633636697,"FBtr0087102"
"gene","MSTRG.16233",0.625697003999477,0.0558610502925847,0.506841394604761,"MSTRG.16233.3"
"gene","MSTRG.20375",0.756407848172538,0.0559890606294199,0.506841394604761,"FBtr0074656"
"gene","MSTRG.17191",0.838632308382553,0.0560363354211091,0.506841394604761,"FBtr0344003"
"gene","MSTRG.18848",0.840661914325623,0.0560653975356504,0.506841394604761,"MSTRG.18848.3"
"gene","MSTRG.3427",0.817115663390598,0.0561165920435065,0.506841394604761,"FBtr0081155"
"gene","MSTRG.9655",0.348988133347798,0.0561326969723588,0.506841394604761,"FBtr0076574"
"gene","MSTRG.18722",1.31537154024405,0.0561915303341062,0.506841394604761,"FBtr0339652"
"gene","MSTRG.7570",0.679694061061553,0.0563947052533353,0.507812749124545,"FBtr0345503"
"gene","MSTRG.18292",0.830519982630444,0.0564236387916162,0.507812749124545,"FBtr0070821"
"gene","MSTRG.6268",0.522288577161234,0.056596419907406,0.508570542243231,"MSTRG.6268.1"
"gene","MSTRG.2",0.450893584033008,0.05674593034138,0.508570542243231,"MSTRG.2.1"
"gene","MSTRG.5134",1.40313813528712,0.0568066980051265,0.508570542243231,"FBtr0088595"
"gene","MSTRG.18404",0.672839294309845,0.0568337122443423,0.508570542243231,"FBtr0331600"
"gene","MSTRG.13433",0.844445214433305,0.0568977543440004,0.508570542243231,"FBtr0081890"
"gene","MSTRG.8495",0.814121324348178,0.0569300115983606,0.508570542243231,"FBtr0072843"
"gene","MSTRG.272",3.19592799366702,0.0569835110289858,0.508570542243231,"MSTRG.272.1"
"gene","MSTRG.13069",0.886282814880378,0.0570062533569222,0.508570542243231,"FBtr0081720"
"gene","MSTRG.6739",0.568165360477435,0.0571840601721822,0.509584964477815,"MSTRG.6739.2"
"gene","MSTRG.7575",0.64145981001348,0.0573171733954432,0.509584964477815,"FBtr0345497"
"gene","MSTRG.13835",2.04650285391737,0.0574241803151549,0.509584964477815,"FBtr0082289"
"gene","MSTRG.11504",0.723252431646435,0.057452337828157,0.509584964477815,"MSTRG.11504.20"
"gene","MSTRG.4915",0.836944182296527,0.0575049129999321,0.509584964477815,"FBtr0088782"
"gene","MSTRG.16694",1.27514294125899,0.0575690768111055,0.509584964477815,"MSTRG.16694.1"
"gene","MSTRG.16299",1.35410106134598,0.0576076857205348,0.509584964477815,"MSTRG.16299.14"
"gene","MSTRG.252",2.27027004816983,0.0576193706006398,0.509584964477815,"MSTRG.252.1"
"gene","MSTRG.20377",1.36350127140503,0.0577310792855161,0.510020346545095,"FBtr0301153"
"gene","MSTRG.12574",10.7972378545448,0.0579452442655803,0.510246198888284,"MSTRG.12574.1"
"gene","MSTRG.18974",0.847925482245279,0.0579512259041615,0.510246198888284,"FBtr0346261"
"gene","MSTRG.11771",0.885526049020712,0.0579516256576641,0.510246198888284,"FBtr0309230"
"gene","MSTRG.3554",0.271127082589097,0.0580593028055818,0.510246198888284,"MSTRG.3554.1"
"gene","MSTRG.712",0.687593837445573,0.058104718511325,0.510246198888284,"FBtr0334811"
"gene","MSTRG.7877",0.684156841208315,0.0581420363197818,0.510246198888284,"FBtr0072268"
"gene","MSTRG.1805",0.707344097707155,0.0583538625091469,0.510246198888284,"FBtr0079703"
